Date,AAPL,GOOGL,MSFT,SPY
2018-01-02 00:00:00+00:00,40.52434158325195,53.5279541015625,79.79293060302734,240.80152893066406
2018-01-03 00:00:00+00:00,40.51728057861328,54.44119644165039,80.16425323486328,242.32464599609375
2018-01-04 00:00:00+00:00,40.70549011230469,54.65266799926758,80.86982727050781,243.34603881835938
2018-01-05 00:00:00+00:00,41.1689338684082,55.377376556396484,81.87244415283203,244.9676971435547
2018-01-08 00:00:00+00:00,41.016021728515625,55.57289123535156,81.95601654052734,245.41563415527344
2018-01-09 00:00:00+00:00,41.01131820678711,55.50206756591797,81.9002914428711,245.97113037109375
2018-01-10 00:00:00+00:00,41.001895904541016,55.36989212036133,81.52893829345703,245.59478759765625
2018-01-11 00:00:00+00:00,41.234798431396484,55.46516036987305,81.77033996582031,247.3866424560547
2018-01-12 00:00:00+00:00,41.66061019897461,56.39286422729492,83.18146514892578,248.99935913085938
2018-01-16 00:00:00+00:00,41.448875427246094,56.395355224609375,82.02098846435547,248.14820861816406
2018-01-17 00:00:00+00:00,42.13347625732422,56.8143196105957,83.68277740478516,250.5135498046875
2018-01-18 00:00:00+00:00,42.17110824584961,56.658203125,83.6456298828125,250.09242248535156
2018-01-19 00:00:00+00:00,41.98291015625,57.033775329589844,83.55278778076172,251.230224609375
2018-01-22 00:00:00+00:00,41.63943862915039,58.06422424316406,85.04744720458984,253.2730255126953
2018-01-23 00:00:00+00:00,41.64884948730469,58.663238525390625,85.31668853759766,253.81053161621094
2018-01-24 00:00:00+00:00,40.985443115234375,58.41984176635742,85.24241638183594,253.7120361328125
2018-01-25 00:00:00+00:00,40.25379943847656,58.96099853515625,85.71588134765625,253.81947326660156
2018-01-26 00:00:00+00:00,40.347896575927734,59.23133087158203,87.32194519042969,256.7582702636719
2018-01-29 00:00:00+00:00,39.512760162353516,59.177467346191406,87.19197845458984,255.0559539794922
2018-01-30 00:00:00+00:00,39.27987289428711,58.72309112548828,86.09651947021484,252.43980407714844
2018-01-31 00:00:00+00:00,39.38808059692383,58.96499252319336,88.20390319824219,252.565185546875
2018-02-01 00:00:00+00:00,39.47040939331055,58.933570861816406,87.50761413574219,252.27845764160156
2018-02-02 00:00:00+00:00,37.757789611816406,55.821773529052734,85.20528411865234,246.7864227294922
2018-02-05 00:00:00+00:00,36.81443405151367,52.9882926940918,81.69607543945312,236.46517944335938
2018-02-06 00:00:00+00:00,38.35297393798828,54.08757400512695,84.78750610351562,241.12408447265625
2018-02-07 00:00:00+00:00,37.531951904296875,52.64015579223633,83.19075012207031,239.8160400390625
2018-02-08 00:00:00+00:00,36.49919128417969,50.26104736328125,78.92024993896484,230.82073974609375
2018-02-09 00:00:00+00:00,36.94564437866211,52.18428421020508,81.8631591796875,234.28802490234375
2018-02-12 00:00:00+00:00,38.433753967285156,52.59775924682617,82.74510955810547,237.7284698486328
2018-02-13 00:00:00+00:00,38.818782806396484,52.576812744140625,83.39497375488281,238.31976318359375
2018-02-14 00:00:00+00:00,39.53449630737305,53.50251770019531,84.7007827758789,241.53622436523438
2018-02-15 00:00:00+00:00,40.862003326416016,54.43321228027344,86.42633819580078,244.61822509765625
2018-02-16 00:00:00+00:00,40.72972106933594,54.63970184326172,85.81072998046875,244.68988037109375
2018-02-20 00:00:00+00:00,40.592716217041016,55.04320526123047,86.48230743408203,243.1578369140625
2018-02-21 00:00:00+00:00,40.408485412597656,55.549949645996094,85.33502197265625,241.94833374023438
2018-02-22 00:00:00+00:00,40.74626159667969,55.35792541503906,85.55889129638672,242.26190185546875
2018-02-23 00:00:00+00:00,41.45488739013672,56.26517868041992,87.7321548461914,246.12339782714844
2018-02-26 00:00:00+00:00,42.27454376220703,57.04375076293945,89.00064849853516,248.98138427734375
2018-02-27 00:00:00+00:00,42.137535095214844,55.73748779296875,87.86270141601562,245.87258911132812
2018-02-28 00:00:00+00:00,42.07374572753906,55.059661865234375,87.4616470336914,243.38185119628906
2018-03-01 00:00:00+00:00,41.336788177490234,53.438175201416016,86.60354614257812,239.8428497314453
2018-03-02 00:00:00+00:00,41.62260437011719,54.0731086730957,86.79010009765625,241.07925415039062
2018-03-05 00:00:00+00:00,41.76668167114258,54.60279083251953,87.34040069580078,243.86570739746094
2018-03-06 00:00:00+00:00,41.73124694824219,54.909034729003906,87.04192352294922,244.48374938964844
2018-03-07 00:00:00+00:00,41.343868255615234,55.614288330078125,87.54560089111328,244.39422607421875
2018-03-08 00:00:00+00:00,41.79502487182617,56.32952117919922,88.0772705078125,245.57687377929688
2018-03-09 00:00:00+00:00,42.51311492919922,57.89863204956055,90.04529571533203,249.8505401611328
2018-03-12 00:00:00+00:00,42.924110412597656,58.15250778198242,90.25982666015625,249.53692626953125
2018-03-13 00:00:00+00:00,42.51075744628906,56.85471725463867,88.05860900878906,247.92422485351562
2018-03-14 00:00:00+00:00,42.14934539794922,57.302608489990234,87.53627014160156,246.65199279785156
2018-03-15 00:00:00+00:00,42.19894790649414,57.38839340209961,87.84408569335938,246.38319396972656
2018-03-16 00:00:00+00:00,42.050140380859375,56.580894470214844,88.2358169555664,246.650390625
2018-03-19 00:00:00+00:00,41.40764617919922,54.86764144897461,86.64083862304688,243.3131561279297
2018-03-20 00:00:00+00:00,41.39347457885742,54.654666900634766,86.86470031738281,243.7269744873047
2018-03-21 00:00:00+00:00,40.45571517944336,54.56489181518555,86.2584457397461,243.25917053222656
2018-03-22 00:00:00+00:00,39.884098052978516,52.527435302734375,83.74940490722656,237.17845153808594
